latitude,longitude,area_1990,area_2000,area_2020,area_change_km2,annual_area_change_km2_per_year
36.03420472222222,73.54378194444445,0.0513,0.0513,0.0513,0.0,0.0
36.03522916666667,73.56228944444445,0.0135,0.0135,0.0135,0.0,0.0
36.03643777777778,73.5840186111111,0.0207,0.0207,0.0207,0.0,0.0
36.03877555555555,73.59166888888889,0.1692,0.1692,0.1692,0.0,0.0
36.04273305555555,73.71955361111111,0.0504,0.0504,0.0504,0.0,0.0
36.10659944444445,73.69529083333333,0.0108,0.0108,0.0108,0.0,0.0
36.11333555555556,73.6651925,0.0135,0.0135,0.0135,0.0,0.0
36.11439194444445,73.66325083333334,0.0252,0.0252,0.0252,0.0,0.0
36.1184625,73.66561166666668,0.0414,0.0414,0.0414,0.0,0.0
36.121325,73.67349083333333,0.0072,0.0072,0.0072,0.0,0.0
35.90410972222222,73.90594472222223,0.0189,0.0189,0.0189,0.0,0.0
35.90247361111111,73.65654305555556,0.0225,0.0225,0.0225,0.0,0.0
35.897034166666664,73.25987388888889,0.0405,0.0405,0.0405,0.0,0.0
35.90503333333333,73.98928083333334,0.0189,0.0189,0.0189,0.0,0.0
35.89503333333333,73.09485444444444,0.0207,0.0207,0.0207,0.0,0.0
35.904695277777776,73.56803888888888,0.1539,0.1539,0.1539,0.0,0.0
35.90302222222222,73.47039722222222,0.0837,0.0837,0.0837,0.0,0.0
35.908140555555555,73.97996833333333,0.0171,0.0171,0.0171,0.0,0.0
35.905875,73.69074666666667,0.0225,0.0225,0.0225,0.0,0.0
35.904649166666665,73.55159666666667,0.0324,0.0324,0.0324,0.0,0.0
35.899344444444445,73.0697386111111,0.0756,0.0756,0.0756,0.0,0.0
34.92516416666666,75.77756416666666,0.0396,0.0396,0.0396,0.0,0.0
34.92637388888889,75.59367583333332,0.0099,0.0099,0.0099,0.0,0.0
34.92796333333333,75.54924305555555,0.0207,0.0207,0.0207,0.0,0.0
34.92868027777777,75.70989694444445,0.0135,0.0135,0.0135,0.0,0.0
34.9294225,75.70009305555556,0.0315,0.0315,0.0315,0.0,0.0
35.188893611111105,75.24774888888889,0.0297,0.0297,0.0297,0.0,0.0
35.19069611111111,75.2317225,0.0198,0.0198,0.0198,0.0,0.0
35.190506388888885,75.19389083333334,0.0153,0.0153,0.0153,0.0,0.0
35.19267833333333,74.61592277777777,0.0765,0.0765,0.0765,0.0,0.0
35.192681666666665,75.25130361111111,0.0135,0.0135,0.0135,0.0,0.0
35.193795277777774,75.23141666666668,0.0099,0.0099,0.0099,0.0,0.0
35.194514999999996,75.35269083333333,0.0405,0.0405,0.0405,0.0,0.0
35.19820833333333,75.41807583333333,0.0135,0.0135,0.0135,0.0,0.0
35.867754166666664,73.61349722222222,0.0144,0.0144,0.0144,0.0,0.0
38.7574625,74.67136805555556,0.0072,0.0072,0.0072,0.0,0.0
36.03656055555555,73.65127194444445,0.0333,0.0342,0.0297,-0.0036000000000000025,-0.00012000000000000008
36.02498583333333,73.93242111111111,0.0315,0.0315,0.0315,0.0,0.0
36.02276944444444,73.65420888888889,0.0234,0.0234,0.0234,0.0,0.0
36.018343055555555,73.3061061111111,0.0297,0.0297,0.0297,0.0,0.0
36.022573055555554,73.58987166666667,0.0252,0.0252,0.0252,0.0,0.0
36.023422777777775,73.59990527777778,0.045,0.045,0.045,0.0,0.0
34.918683611111106,75.7133513888889,0.0153,0.0153,0.0153,0.0,0.0
34.921838611111106,75.24955472222223,0.1395,0.1395,0.1395,0.0,0.0
34.921301666666665,75.71012361111111,0.0504,0.0504,0.0504,0.0,0.0
34.924012777777776,75.59872,0.144,0.144,0.144,0.0,0.0
34.92264194444444,75.5181775,0.0351,0.0351,0.0351,0.0,0.0
34.92203138888889,75.58498138888888,0.0063,0.0063,0.0063,0.0,0.0
34.922871388888886,75.71579277777778,0.0297,0.0297,0.0297,0.0,0.0
34.92229138888889,75.68876694444445,0.018,0.018,0.018,0.0,0.0
34.92207555555555,75.7754625,0.0135,0.0135,0.0135,0.0,0.0
34.92245333333333,75.77371416666666,0.0081,0.0081,0.0081,0.0,0.0
34.92413611111111,75.66056166666667,0.045,0.045,0.045,0.0,0.0
35.99664138888889,73.73565638888888,0.0144,0.0144,0.0144,0.0,0.0
35.99747638888889,73.7294611111111,0.0423,0.0423,0.0423,0.0,0.0
35.993068055555554,73.28562611111111,0.0369,0.0369,0.0369,0.0,0.0
36.00049861111111,73.65515944444445,0.0081,0.0081,0.0081,0.0,0.0
36.00478388888889,73.73679527777777,0.0144,0.0144,0.0144,0.0,0.0
36.008853333333334,73.65103694444446,0.0288,0.0288,0.0288,0.0,0.0
36.0044825,73.27327666666666,0.0675,0.0675,0.0675,0.0,0.0
36.01037055555555,73.70431305555556,0.0198,0.0198,0.0198,0.0,0.0
36.01192805555556,73.66491194444446,0.0126,0.0126,0.0126,0.0,0.0
36.01603333333333,73.57916527777778,0.0702,0.0702,0.0702,0.0,0.0
36.010957777777776,73.2299788888889,0.0396,0.0396,0.0396,0.0,0.0
36.019152222222225,73.9216,0.0522,0.0522,0.0522,0.0,0.0
36.015185,73.51631527777778,0.0126,0.0126,0.0126,0.0,0.0
36.01336,73.33326638888889,0.0108,0.0108,0.0108,0.0,0.0
36.0210425,73.66475361111112,0.0495,0.0495,0.0495,0.0,0.0
36.021859166666665,73.64665500000001,0.0297,0.0297,0.0297,0.0,0.0
35.9667175,73.3128836111111,0.0207,0.0207,0.0207,0.0,0.0
35.97044,73.38514388888889,0.0207,0.0207,0.0207,0.0,0.0
35.97249388888889,73.33820166666666,0.0324,0.0324,0.0324,0.0,0.0
35.97419305555556,73.42688666666668,0.0099,0.0099,0.0099,0.0,0.0
35.98036305555556,73.9227925,0.0225,0.0225,0.0225,0.0,0.0
35.98193833333333,74.0034575,0.0513,0.0513,0.0513,0.0,0.0
36.139518055555556,73.38084638888888,0.0513,0.0513,0.0513,0.0,0.0
35.98070194444445,73.72755277777777,0.0153,0.0153,0.0153,0.0,0.0
35.97707194444445,73.39020444444445,0.0162,0.0162,0.0162,0.0,0.0
36.15424055555555,73.61592527777778,0.1161,0.1161,0.1161,0.0,0.0
35.97911916666667,73.31334416666667,0.0225,0.0225,0.0225,0.0,0.0
35.98895,73.72446444444445,0.0081,0.006251,0.0198,0.011700000000000002,0.00039000000000000005
35.98457805555556,73.30575444444445,0.0072,0.0072,0.0072,0.0,0.0
35.98705833333334,73.31279555555555,0.0945,0.0945,0.0945,0.0,0.0
35.99033277777778,73.31972166666667,0.0171,0.0171,0.0171,0.0,0.0
35.99047277777778,73.28130805555556,0.0216,0.0216,0.0216,0.0,0.0
35.96252638888889,74.01868722222223,0.1341,0.1341,0.1341,0.0,0.0
35.95407416666667,73.34917361111111,0.0594,0.0594,0.0594,0.0,0.0
35.960957500000006,73.98335666666667,0.0378,0.0378,0.0378,0.0,0.0
35.96113166666667,73.766995,0.0162,0.0162,0.0162,0.0,0.0
35.95525305555556,73.19353472222222,0.0225,0.0225,0.0225,0.0,0.0
35.957705000000004,73.3160086111111,0.0135,0.0135,0.0135,0.0,0.0
35.962492222222224,73.39694861111111,0.1746,0.1746,0.1746,0.0,0.0
35.96345138888889,73.70838305555556,0.0126,0.0126,0.0126,0.0,0.0
35.97009666666667,74.0703425,0.0459,0.0459,0.0459,0.0,0.0
35.97244222222223,73.91063027777778,0.2502,0.2502,0.2502,0.0,0.0
35.97032638888889,74.00454722222223,0.0675,0.0675,0.0675,0.0,0.0
35.96404861111112,73.4335775,0.0108,0.0108,0.0108,0.0,0.0
35.96209805555556,73.19230111111112,0.009,0.009,0.009,0.0,0.0
35.971154444444444,73.75821222222223,0.0252,0.0252,0.0252,0.0,0.0
35.97462388888889,73.99379611111111,0.0594,0.0594,0.0594,0.0,0.0
35.971401944444445,73.70918305555556,0.0324,0.0324,0.0324,0.0,0.0
35.939026111111104,73.3755011111111,0.009,0.009,0.009,0.0,0.0
35.94438583333333,73.7032538888889,0.0729,0.0729,0.0729,0.0,0.0
35.945370277777776,73.36470361111111,0.6318,0.6318,0.6318,0.0,0.0
35.938631666666666,73.30725416666667,0.0072,0.0072,0.0153,0.0081,0.00027
35.94877527777778,73.97999777777778,0.0342,0.0342,0.0342,0.0,0.0
