id,name,place_type,latitude,longitude,population
699749682,Rajgundha,hamlet,32.0910859,76.7661185,
699751516,Kukargundha,hamlet,32.1033226,76.7618256,
699757031,Baragaran,hamlet,32.091546,76.7756361,
699761788,Malotha,hamlet,32.087205,76.7814058,
699765782,Kothikodh,hamlet,32.0815993,76.7973267,
699765827,Uparli Kodh,hamlet,32.0851139,76.8010348,
699779640,Chherna,hamlet,32.0906332,76.8524229,
699782165,Shawar,hamlet,32.0858567,76.8498769,
699800855,Samalang,hamlet,32.0518784,76.9943204,
699804104,Kadingcha,hamlet,32.0338,76.9977901,
699810804,Chalaha,hamlet,32.0279928,77.0043848,
699828744,Kalang,hamlet,32.0107177,77.0176286,
716022811,Dhradka,hamlet,32.2755007,76.2995268,
716099756,Darkund,hamlet,32.4224647,76.2938077,
716149037,Sadon,hamlet,32.4328005,76.2896517,
716227144,Palei,village,32.4360389,76.2930223,
716227304,Barehi,village,32.4428334,76.3001839,
716314098,Lahal,hamlet,32.4713722,76.4668867,
716314859,Khadamukh,village,32.4671265,76.4489005,
716315144,Dhakog,village,32.46454,76.4205185,
716315441,Gehra,village,32.4453505,76.3365045,
716315497,Luna,village,32.4501122,76.3898318,
716315552,Durgethi,village,32.461974,76.4124674,
716317169,Bagga,village,32.4717223,76.2603173,
716317233,Lothal,village,32.4745564,76.2944337,
716317273,Dharbala,village,32.4770193,76.290484,
716318422,Rakh,village,32.468888,76.2358552,
716318444,Kalsuin,village,32.4759322,76.2117193,
716322327,Tarela,village,32.4874524,76.4360778,
716328921,Saindah,village,32.4908186,76.456327,
716329203,Tundah,village,32.5094248,76.4669618,
716339084,Chulai,village,32.5135434,76.4640309,
716339334,Silpadi,hamlet,32.5264222,76.4573278,
716343886,Mandah,hamlet,32.5358816,76.4555897,
716345225,Banni,hamlet,32.540933,76.4608534,
716345250,Patal,hamlet,32.5416585,76.4570621,
716349654,Badgaram,village,32.5276413,76.4733574,
716350283,Kuthar,hamlet,32.5193296,76.4858957,
716351541,Harchhu,village,32.5000632,76.4838653,
716352643,Kandhelu,village,32.4767977,76.4779847,
716352901,Garmunhi,village,32.4726294,76.484847,
716353561,Thala,village,32.4554911,76.5293152,
716358887,Jangi,village,32.4737524,76.1910804,
716358904,Mehla,village,32.4846077,76.1777091,
716358928,Kuranh,village,32.4957851,76.1714308,
716376348,Chamba Jot,village,32.4874266,76.0600643,
716376692,Gajnooyi,village,32.5304859,76.0821363,
716376693,Mangla,village,32.5436903,76.1165207,
716386058,Kut,village,32.4609551,76.0204202,
716388478,Banuni,village,32.4651994,76.0435625,
