sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,nearest_settlement_name
230,0.000133385,72.00570821,36.44984487,FALSE,-4.58,0.64,0,3935,16.25575741,Shagrom Mulkhow
231,0.000132932,72.00501149,36.45118228,FALSE,-4.58,0.64,0,3934,16.40701154,Shagrom Mulkhow
232,0.000229043,72.00949889,36.45009464,FALSE,-4.58,0.64,0,3906,16.04656552,Shagrom Mulkhow
233,0.000466546,72.00935267,36.45038592,FALSE,-4.58,0.64,0,3903,16.07935948,Shagrom Mulkhow
234,0.010962815,72.00765445,36.45350185,FALSE,-4.58,0.64,0,3922,16.43868277,Shagrom Mulkhow
235,0.006418057,72.00597158,36.45374275,FALSE,-4.58,0.64,0,3939,16.55906686,Shagrom Mulkhow
236,0.015208504,72.00395403,36.45481165,FALSE,-4.58,0.64,0,3925,16.76824518,Shagrom Mulkhow
237,0.001917511,71.99873458,36.45347213,FALSE,-4.58,0.64,0,3949,16.97740802,Shagrom Mulkhow
238,0.00095821,71.99813789,36.45215627,FALSE,-4.58,0.64,0,3968,16.90911335,Shagrom Mulkhow
239,0.001544791,71.9974688,36.45255002,FALSE,-4.58,0.64,0,3968,16.98222544,Shagrom Mulkhow
240,0.001360288,71.99612276,36.45384237,FALSE,-4.58,0.64,0,3959,17.16917536,Shagrom Mulkhow
241,0.000491131,71.99519876,36.45367658,FALSE,-4.58,0.64,0,3967,17.21370778,Shagrom Mulkhow
242,0.001130981,71.99550824,36.45216603,FALSE,-4.58,0.64,0,3971,17.07466089,Shagrom Mulkhow
243,0.001262701,71.99382275,36.45181709,FALSE,-4.58,0.64,0,3974,17.15377547,Shagrom Mulkhow
244,0.00206093,71.99163416,36.44989487,FALSE,-4.58,0.64,0,3992,17.14453999,Shagrom Mulkhow
245,0.005351389,71.98615039,36.45597796,FALSE,-4.58,0.64,0,4028,17.96738417,Shagrom Mulkhow
246,0.000460347,71.99165541,36.45813202,FALSE,-4.58,0.64,0,4021,17.78974748,Shagrom Mulkhow
247,0.00317983,71.98837256,36.45771107,FALSE,-4.58,0.64,0,4040,17.96185722,Shagrom Mulkhow
248,0.000503606,71.98459732,36.45912526,FALSE,-4.58,0.64,0,4062,18.31184285,Shagrom Mulkhow
249,0.001271524,71.9866383,36.45996562,FALSE,-4.58,0.64,0,4052,18.24912764,Shagrom Mulkhow
250,0.002228025,71.98448498,36.46201099,FALSE,-4.58,0.64,0,4076,18.5462909,Shagrom Mulkhow
251,0.001909807,71.98300415,36.46384498,FALSE,-4.58,0.64,0,4099,18.78459007,Shagrom Mulkhow
252,0.001467989,71.98239825,36.46390783,FALSE,-4.58,0.64,0,4098,18.82752156,Shagrom Mulkhow
253,0.000272465,71.98160173,36.46457509,FALSE,-4.58,0.64,0,4100,18.93036626,Shagrom Mulkhow
254,0.000233463,71.98180824,36.46559807,FALSE,-4.58,0.64,0,4093,18.99878953,Shagrom Mulkhow
255,0.000784515,71.98057207,36.46515194,FALSE,-4.58,0.64,0,4104,19.040665,Shagrom Mulkhow
256,0.000683736,71.97987695,36.46475869,FALSE,-4.58,0.64,0,4105,19.05326969,Shagrom Mulkhow
257,0.000378764,71.98106229,36.46848612,FALSE,-4.58,0.64,0,4124,19.27627678,Shagrom Mulkhow
258,0.000831825,71.9793647,36.46841634,FALSE,-4.58,0.64,0,4129,19.3758711,Shagrom Mulkhow
259,0.000295609,71.9770595,36.46880303,FALSE,-4.58,0.64,0,4130,19.55042229,Shagrom Mulkhow
260,0.005117803,71.97697942,36.47123163,FALSE,-4.58,0.64,0,4154,19.74928763,Shagrom Mulkhow
261,0.000524334,71.97675784,36.47162957,FALSE,-4.58,0.64,0,4144,19.7949317,Shagrom Mulkhow
262,0.000487467,71.98046554,36.46165547,FALSE,-4.58,0.64,0,4090,18.77240607,Shagrom Mulkhow
263,0.002638553,71.9840959,36.46588275,FALSE,-4.58,0.64,0,4088,18.87957336,Shagrom Mulkhow
264,0.00111114,71.98314102,36.46619284,FALSE,-4.58,0.64,0,4099,18.96353456,Shagrom Mulkhow
265,0.000760719,71.96276802,36.47493044,FALSE,-4.58,0.64,0,4205,20.93577051,Shagrom Mulkhow
266,0.00020384,71.96200983,36.4749877,FALSE,-4.58,0.64,0,4201,20.9886941,Shagrom Mulkhow
267,0.000139301,71.9642946,36.47477725,FALSE,-4.58,0.64,0,4200,20.82651749,Shagrom Mulkhow
