OBJECTID_1,Id,OBJECTID,Shape_Leng,Shape_Le_1,Shape_Area,area_km2,longitude,latitude,is_top200,avg_temp_c,avg_precip_mm,label
8460,0,0,0.0,805.918827293,42879.2487871,0.0428792487871,75.12640379677389,34.708481744442835,False,2.99,2.06,0
8461,0,0,0.0,525.182751311,17652.9149431,0.0176529149431,75.11837739456934,34.718911751772744,False,2.99,2.06,0
8462,0,0,0.0,195.438879087,2367.3148123,0.0023673148123,75.1165560878813,34.718676874668866,False,2.99,2.06,0
8463,0,0,0.0,1349.59767961,74140.2005149,0.0741402005149,75.09675771268694,34.726664246126234,False,2.99,2.06,0
8464,0,0,0.0,403.704570229,11382.2661415,0.0113822661415,75.09668285097491,34.723695989122426,False,2.99,2.06,0
8465,0,0,0.0,4393.93143929,631846.735789,0.6318467357890001,75.13706676530413,34.69649681330133,True,2.99,2.06,0
8466,0,0,0.0,1902.61663533,210102.899447,0.210102899447,75.14044082000812,34.68356332329532,True,2.99,2.06,0
8467,0,0,0.0,1179.73733337,58397.9871983,0.0583979871983,75.15732648115292,34.6779578272117,False,2.99,2.06,0
8468,0,0,0.0,641.327485849,25791.2187757,0.0257912187757,75.16474858033514,34.6813734928038,False,2.99,2.06,0
8469,0,0,0.0,1250.86225989,45868.1158012,0.0458681158012,75.1697043327493,34.674339129474816,False,2.99,2.06,0
8470,0,0,0.0,751.276285899,32229.2721571,0.0322292721571,75.1572418992596,34.82303427483804,False,-2.4,1.63,0
8471,0,0,0.0,463.361204535,13369.1067101,0.0133691067101,75.15451974638111,34.82612836869679,False,-2.4,1.63,0
8472,0,0,0.0,698.214527684,23696.1174196,0.0236961174196,75.19705946721935,34.82768856041989,False,-2.4,1.63,0
8473,0,0,0.0,363.58798605,8780.56150541,0.00878056150541,75.16881172339869,34.84493187879021,False,-2.4,1.63,0
8474,0,0,0.0,748.473719294,21640.4263192,0.0216404263192,75.14884350058018,34.85419136931707,False,-2.4,1.63,0
8475,0,0,0.0,660.60926409,22285.1735868,0.0222851735868,75.0787656465517,34.895544258246225,False,-2.4,1.63,0
8476,0,0,0.0,621.55288299,26960.173132,0.026960173131999998,75.08893687762901,34.89166040719776,False,-2.4,1.63,0
8477,0,0,0.0,496.432312883,18459.0703796,0.018459070379600002,75.03348715771433,34.87957658711573,False,-2.4,1.63,0
8478,0,0,0.0,931.094360989,62940.2747172,0.0629402747172,74.99187371161868,34.857000791878995,False,-2.4,1.63,0
8479,0,0,0.0,1424.50763611,68976.0813153,0.0689760813153,74.97615474533784,35.10119912703665,False,-2.4,1.63,0
8480,0,0,0.0,621.880860313,12951.9056476,0.012951905647600001,74.98092734973288,35.06040318963617,False,-2.4,1.63,0
8481,0,0,0.0,1337.78080588,56160.3062231,0.0561603062231,75.15451484536202,35.15063861671683,False,-2.4,1.63,0
8482,0,0,0.0,1165.07028424,75700.5774245,0.07570057742450001,75.28849208455165,35.14475213956856,False,-2.4,1.63,0
8483,0,0,0.0,237.937810822,3817.21111289,0.00381721111289,75.23511774525561,34.64338242216581,False,2.99,2.06,0
8484,0,0,0.0,229.065061712,2786.74313184,0.00278674313184,75.23306139909157,34.64217130361868,False,2.99,2.06,0
8485,0,0,0.0,468.058314488,11385.5535896,0.0113855535896,75.22925812219911,34.64139750218523,False,2.99,2.06,0
8486,0,0,0.0,642.616261985,15730.6010618,0.0157306010618,75.22517870338564,34.64045546558608,False,2.99,2.06,0
8487,0,0,0.0,195.523948835,2798.50256452,0.0027985025645199998,75.22409007714614,34.643905628878834,False,2.99,2.06,0
8488,0,0,0.0,810.852044944,31776.7776856,0.0317767776856,75.21784117781169,34.644310658315966,False,2.99,2.06,0
