sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,annual_area_change_km2_per_year,growth_data_available,label_source,matched_event_id,matched_event_name,match_distance_km,matched_reference_row,label_method,label_provenance_status,geographic_group_025deg
72,0.003027491,74.37392754,35.0128905,0,-0.81,1.73,0,3864,11.00082041969732,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,39.969224547728125,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
73,0.005580415,74.37697665,34.96838023,0,-0.81,1.73,0,3404,7.4429331760818735,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,42.95313447612842,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
74,0.009904528,74.34220828,34.89789041,0,-0.81,1.73,0,3967,6.043516545222543,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,50.73532866446592,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
75,0.008394886,74.36179248,34.90302733,0,-0.81,1.73,0,4135,4.73943672778728,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,49.107062880086744,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
76,0.006073095,74.30747407,34.86712201,0,-0.81,1.73,0,4017,5.388776243811909,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,55.39731525436872,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
77,0.00259134,74.27980466,34.86295733,0,-0.81,1.73,0,4213,7.6029722668194335,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,57.4792937864288,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
78,0.000808335,74.26098517,34.86987802,0,-0.81,1.73,0,4168,5.89222300513656,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,58.162956040260916,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
79,0.021818263,74.44343641,34.87704871,0,-0.81,1.73,0,3858,4.367808718293793,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.86675795421972,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
80,0.016662246,74.44832788,34.88010748,0,-0.81,1.73,0,3694,4.417588745588661,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.339820154863126,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
81,0.001848374,74.46815361,34.8742305,0,-0.81,1.73,0,3649,6.222729085879751,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,45.953372272950375,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
82,0.004240915,74.46835404,34.87335603,0,-0.81,1.73,0,3649,6.295881048904913,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.02805758059738,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
83,0.754965753,74.5216406,34.91927913,1,-0.81,1.73,0,4045,6.140383090308157,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,39.21207095901548,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
84,0.005635789,74.52854645,34.91412366,0,-0.81,1.73,0,4060,6.989340819789172,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,39.433448707911765,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
