lake_id,observed_at,area_km2,cloud_percentage,clear_fraction,quality_status,source_image_id,water_index,source,is_mock,rejection_reason,ingested_at
PKGL-03940,2026-08-29T05:59:20.583000+00:00,,1.676,1.0,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:58:22.235753+00:00
PKGL-04704,2026-08-29T05:59:20.583000+00:00,0.004402909110370114,12.488,0.8751,RELIABLE,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:58:26.579263+00:00
PKGL-04227,2026-08-29T05:59:20.583000+00:00,,1.676,1.0,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:58:40.960435+00:00
PKGL-03880,2026-08-29T05:59:20.583000+00:00,,1.676,1.0,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:58:57.915003+00:00
PKGL-05585,2026-08-29T05:48:52.285000+00:00,0.00040016646151492933,12.612,1.0,RELIABLE,20260829T053639_20260829T054427_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:59:02.469588+00:00
PKGL-01828,2026-08-29T05:59:13.551000+00:00,0.0003999755586151721,12.27,0.9945,RELIABLE,20260829T055251_20260829T055252_T43SCA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:59:06.822512+00:00
PKGL-06467,2026-08-29T05:59:24.419000+00:00,,9.098,1.0,REJECTED,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:59:16.894657+00:00
PKGL-08006,2026-08-29T05:59:42.535000+00:00,,99.896,0.001,REJECTED,20260829T055251_20260829T055252_T43SCU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:59:27.435669+00:00
PKGL-07022,2026-08-30T06:08:52.283000+00:00,0.0019995459816802862,6.02,0.9994,RELIABLE,20260830T055631_20260830T055743_T43SCA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:59:30.750804+00:00
PKGL-02804,2026-08-29T05:49:03.488000+00:00,,6.883,0.9312,REJECTED,20260829T053639_20260829T054427_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:59:39.532738+00:00
PKGL-06406,2026-08-29T05:59:24.419000+00:00,,26.703,0.733,REJECTED,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:59:50.024288+00:00
PKGL-05213,2026-08-29T05:49:06.714000+00:00,,1.417,1.0,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:59:57.699648+00:00
PKGL-06448,2026-08-29T05:59:24.419000+00:00,,32.091,0.6791,REJECTED,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T06:00:06.519223+00:00
PKGL-06544,2026-08-29T05:59:24.419000+00:00,,9.098,1.0,REJECTED,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T06:00:16.558799+00:00
PKGL-07981,2026-08-29T05:59:42.535000+00:00,,50.449,0.938,REJECTED,20260829T055251_20260829T055252_T43SCU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,cloud percentage above configured limit; no reliable water pixels,2026-09-01T06:00:26.092929+00:00
PKGL-08355,2026-08-29T05:59:33.922000+00:00,0.008406830700417924,11.302,0.9947,RELIABLE,20260829T055251_20260829T055252_T43SEU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:00:29.628496+00:00
PKGL-01408,2026-08-29T05:59:24.419000+00:00,0.0020011049968510987,9.098,1.0,RELIABLE,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:00:32.951219+00:00
PKGL-01632,2026-08-29T05:59:28.143000+00:00,,74.531,0.2547,REJECTED,20260829T055251_20260829T055252_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T06:00:42.919367+00:00
PKGL-00131,2026-08-29T05:59:38.677000+00:00,,55.952,0.4405,REJECTED,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T06:00:52.956982+00:00
PKGL-03428,2026-08-29T05:59:20.583000+00:00,,14.935,0.8506,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T06:01:09.834060+00:00
PKGL-00979,2026-08-29T05:59:28.143000+00:00,,37.826,0.987,REJECTED,20260829T055251_20260829T055252_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,cloud percentage above configured limit; no reliable water pixels,2026-09-01T06:01:20.020157+00:00
PKGL-04671,2026-08-29T05:59:24.419000+00:00,,9.098,1.0,REJECTED,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T06:01:35.104770+00:00
PKGL-02296,2026-08-29T05:49:17.997000+00:00,0.002000931586838357,2.432,0.9757,RELIABLE,20260829T053639_20260829T054427_T43SFU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:01:38.605630+00:00
PKGL-06738,2026-08-29T05:59:09.961000+00:00,,5.671,1.0,REJECTED,20260829T055251_20260829T055252_T43SDA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T06:01:47.742220+00:00
PKGL-05727,2026-08-29T05:59:05.939000+00:00,0.2545283379676278,14.763,0.866,RELIABLE,20260829T055251_20260829T055252_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:01:50.579113+00:00
PKGL-00015,2026-08-29T05:59:38.677000+00:00,,60.176,0.3982,REJECTED,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T06:01:59.940167+00:00
PKGL-05335,2026-08-29T05:49:06.714000+00:00,,32.74,0.6726,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T06:02:06.970298+00:00
PKGL-01026,2026-08-30T06:09:05.295000+00:00,,63.992,0.3601,REJECTED,20260830T055631_20260830T055743_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T06:02:23.053680+00:00
PKGL-08230,2026-08-27T05:59:25.089000+00:00,,46.313,0.5369,REJECTED,20260827T054631_20260827T055705_T43SCU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T06:29:02.553759+00:00
PKGL-05516,2026-05-06T05:49:10.218000+00:00,0.0004001971763624867,29.836,0.7016,RELIABLE,20260506T053641_20260506T054228_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:29:27.251635+00:00
PKGL-00443,2026-07-16T06:09:14.523000+00:00,0.0007996338263032623,19.772,0.8023,RELIABLE,20260716T055639_20260716T055749_T42SYE,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:34:13.039586+00:00
PKGL-02404,2026-08-29T05:49:17.997000+00:00,,5.184,0.9482,REJECTED,20260829T053639_20260829T054427_T43SFU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T06:34:56.111996+00:00
PKGL-07877,2026-08-27T05:59:10.698000+00:00,,10.54,0.944,REJECTED,20260827T054631_20260827T055705_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T06:35:59.920696+00:00
PKGL-08051,2026-07-18T05:59:24.961000+00:00,0.014810116989763939,17.402,0.9669,RELIABLE,20260718T054641_20260718T055712_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:40:18.687378+00:00
PKGL-03152,2026-05-31T05:49:01.695000+00:00,0.0008003071929335089,23.88,0.8186,RELIABLE,20260531T053639_20260531T054219_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:41:32.041095+00:00
PKGL-02102,2026-04-26T05:49:07.071000+00:00,0.0008001786181593665,24.414,0.7559,RELIABLE,20260426T053641_20260426T054232_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T06:42:06.605112+00:00
