source_row_number,source_polygon_id,lake_id,canonical_lake_id,processed_sample_id,latitude,longitude,reference_area_km2,elevation_m,distance_to_nearest_settlement_km,source_centroid_latitude,source_centroid_longitude,source_area_km2,geometry_sha256,source_geometry_valid,source_validation_warning,reconciliation_status,reconciliation_reason,eligible_for_processing
982,982,PKGL-00982,PKGL-00982,982,35.70835185,73.06452895,0.037656457,4526.0,27.43579722674716,35.708351845994436,73.06452895057613,0.037656456976100004,a397e916b00b33a0bf889238b34e6391f74c0df9559c58a902bdf45e5dbb8853,False,Self-intersection[324889.252853105 3953242.378617],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1009,1009,PKGL-01009,PKGL-01009,1009,35.80938741,72.97981434,0.030187615,4254.0,34.460328963289264,35.809387407441356,72.97981433584283,0.030187615155300003,714dd81f4ebdc16022fa0a38ea240f8789f849a50195c77355b2431f1416b3dd,False,Self-intersection[317349.032394862 3964587.07919076],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1014,1014,PKGL-01014,PKGL-01014,1014,35.8126494,72.99556359,0.147941032,4499.0,35.78112707653044,35.812649370305486,72.99556355741451,0.14794103178300003,87fa87a95b807b92a9057e13e5e8a3833f30b793e60fdba2f11f50045ad7ee12,False,Self-intersection[318837.388383062 3964837.47232622],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1016,1016,PKGL-01016,PKGL-01016,1016,35.82323675,72.97020551,0.006009575,4533.0,34.84643186615595,35.823236753603034,72.97020551159957,0.00600957515317,fd08f5afe5c886f60d53554941ec74712067dc968aea806123cfc52e93c97666,False,Self-intersection[316638.626516667 3966294.99217],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1031,1031,PKGL-01031,PKGL-01031,1031,35.83293805,73.04305162,0.038578048,4416.0,37.13837765370676,35.832938043875686,73.0430516241338,0.0385780479593,2dcf58217ac1fbc205ff9686dc42628804fcf0cbdbfb9689940a90049108e2c7,False,Self-intersection[323134.386629649 3967311.03928315],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1037,1037,PKGL-01037,PKGL-01037,1037,35.79198902,73.11294798,0.014237551,4520.0,35.198128435507044,35.79198901546193,73.11294798270094,0.0142375513678,c32cd47b54fad0ce26f7a41a8ce28e747a01c18928e0d1bbfbb5fea39ddb5afc,False,Self-intersection[329392.281616448 3962558.65627418],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1039,1039,PKGL-01039,PKGL-01039,1039,35.79260997,73.12017152,0.083973084,4515.0,34.66374451748482,35.792609962439606,73.1201715410167,0.08397308369090001,03703e4b60bb743c0400c25359ce63c528e8c4bd544494189929424234d7e0ce,False,Self-intersection[329968.086492957 3962627.32421299],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1048,1048,PKGL-01048,PKGL-01048,1048,35.81007122,73.09292381,0.043507673,4395.0,37.76244558834313,35.81007122223163,73.09292381375712,0.0435076726518,cade16d4320b59ddf6df0d73b16cad205353d283d525ffe909f1e707a8d70137,False,Self-intersection[327468.360970072 3964619.26053642],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1060,1060,PKGL-01060,PKGL-01060,1060,35.77560786,73.20958869,0.004362471,4488.0,26.82119383568354,35.77560785712814,73.20958869046885,0.00436247075648,2af8c276df5e6e3b24fcef5ec5b8a7b6c9728b4676e14bbf67ea377bf95a5101,False,Self-intersection[338159.765187604 3960572.7893],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1061,1061,PKGL-01061,PKGL-01061,1061,35.78542032,73.20543916,0.015670948,4495.0,27.75831258775481,35.78542031528314,73.20543915977052,0.0156709479512,96c0e6428e23dfe3552fd9e4ca634a21f0013c9c54cc5d5489d5428b115058c4,False,Self-intersection[337756.964995337 3961660.76115711],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1062,1062,PKGL-01062,PKGL-01062,1062,35.78882987,73.20854584,0.01949147,4393.0,27.75923766467177,35.78882986764043,73.20854584509239,0.0194914697392,6a886033b84ad568329a9c4fb06c8c6b145cc754ba0adb0406a1896d74018634,False,Self-intersection[337964.958110945 3962013.35278982],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1070,1070,PKGL-01070,PKGL-01070,1070,35.8174685,73.13197759,0.00187185,4448.0,35.226252539912124,35.81746849710417,73.13197759105445,0.00187185024685,00be029737a5ad6c4d813e530e554169ab642d232e30cf7b3a3fe5e2a0bc6b82,False,Self-intersection[331241.182046236 3965344.7104938],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1072,1072,PKGL-01072,PKGL-01072,1072,35.81918489,73.13757259,0.011842574,4497.0,34.92057706926016,35.81918489184819,73.13757258611354,0.011842574498,171a458fbb59d60c491c2b7f7bc091841e4bfec53d379627dc55defdc842c1e4,False,Self-intersection[331684.482853048 3965444.84388268],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1074,1074,PKGL-01074,PKGL-01074,1074,35.83052207,73.13150851,0.037868027,4487.0,34.346941258449284,35.83052207144876,73.13150850610519,0.0378680268883,d4f35b0a044ad24f17a92942a90e954f4837498ebce160bc7a91e9b7891b656e,False,Self-intersection[331183.739291444 3966860.90938156],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1089,1089,PKGL-01089,PKGL-01089,1089,35.83155662,73.22050931,0.033613265,4109.0,30.092044995573577,35.831556615561205,73.22050930995312,0.0336132649964,7cf646ee1bfbb8d150ef4f63e37ad7ed1d4b84c481efa5b21a71b20ae6e3895d,False,Self-intersection[339195.74220527 3966826.52895681],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1093,1093,PKGL-01093,PKGL-01093,1093,35.80055169,73.08423743,0.163425747,4218.0,37.26980850637405,35.800551700040664,73.08423739206607,0.16342574665399998,f6112e778930b5cdc2f4be000ec90a93823ee5ec43975887fded3c11014b5506,False,Self-intersection[326422.197836704 3963371.21713914],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1105,1105,PKGL-01105,PKGL-01105,1105,35.87785971,73.05110743,0.0254276,4701.0,32.09199000516422,35.877859705797455,73.0511074318892,0.025427600482,0ecfeeb3a486116fe7c112b1f59811b8137313753c74df40fdceb829162c74cf,False,Self-intersection[324015.870799996 3972226.0308],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1113,1113,PKGL-01113,PKGL-01113,1113,35.85339945,73.14866077,0.022668687,4705.0,31.37666461305345,35.853399445957244,73.14866076706042,0.0226686873501,a7f1a4eb0f738ad0815417b1c9b387e597df0ad565f9aa710006fd06a100c10f,False,Self-intersection[332816.286810668 3969385.57023223],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1134,1134,PKGL-01134,PKGL-01134,1134,35.93910053,73.24377011,0.017324543,4374.0,18.70763120617435,35.939100529032125,73.24377011637111,0.0173245432479,1962e59367917d70c9b263e6c132b802476775c74fc653ddd730e4483584d59c,False,Self-intersection[341479.66041486 3978693.64067811],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1144,1144,PKGL-01144,PKGL-01144,1144,35.86949586,73.23423194,0.009469088,4275.0,25.99743795654204,35.86949585785301,73.2342319434838,0.00946908836097,9ea1c87c5ade4ceff2a6e819dd4663e35ba35e17723eef0c49c6221048d837de,False,Self-intersection[340533.400415876 3971001.48374259],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
1161,1161,PKGL-01161,PKGL-01161,1161,36.00864591,73.27032976,0.006248241,4550.0,11.006982933991823,36.00864591132157,73.27032976182599,0.0062482408643700004,57a8130efc66431249f20e601838f08242a15bf24249ee79c5db54b309638cef,False,Self-intersection[344083.6228 3986321.962361],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
